material,site,direction,bond_length_A,fft_spacing_A,r_peak_A,h_peak,M
2AEPy,2,6,3.31353979193623,0.117075795151491,0.914417518763141,0.500788459202426,0.457929740289099
2AEPy,3,1,3.07684874067067,0.117075795151491,0.895845026273544,0.452920409445837,0.40574649609983
2AEPy,3,2,3.09921363060732,0.117075795151491,0.896521833320471,0.464955096631219,0.416842395643517
2AEPy,3,3,3.12248067657665,0.117075795151491,0.895189536371833,0.46682681578315,0.417898480786858
2AEPy,3,4,3.20582036554089,0.117075795151491,0.900827395241489,0.482166991663182,0.434349235171369
2AEPy,3,5,3.23957490218212,0.117075795151491,0.908102986382293,0.489551997926545,0.444563631306514
2AEPy,3,6,3.31353979193623,0.117075795151491,0.914417518763141,0.500788459202426,0.457929740289099
2AEPy,4,1,3.07684874067067,0.117075795151491,0.895845026273544,0.452920409445837,0.40574649609983
2AEPy,4,2,3.09921363060732,0.117075795151491,0.896521796459331,0.464955095649427,0.416842377624545
2AEPy,4,3,3.12248067657665,0.117075795151491,0.895189536371833,0.466826815783151,0.417898480786858
2AEPy,4,4,3.20582036554089,0.117075795151491,0.900827395241489,0.482166991663182,0.434349235171369
2AEPy,4,5,3.23957490218212,0.117075795151491,0.908102986382293,0.489551997926545,0.444563631306514
2AEPy,4,6,3.31353979193623,0.117075795151491,0.914417518763141,0.500788459202426,0.457929740289099
4AEPy,1,1,3.05654367242961,0.117255514298621,0.89123924302865,0.460323153712721,0.410258059063486
4AEPy,1,2,3.10979898166154,0.117255514298621,0.89649243219843,0.461784558483056,0.413986361986153
4AEPy,1,3,3.12008640991922,0.117255514298621,0.898731969618854,0.471114205342865,0.423405397683214
4AEPy,1,4,3.16477897304772,0.117255514298621,0.90272743793482,0.479482079263778,0.432841628949451
4AEPy,1,5,3.23648678199807,0.117255514298621,0.907322024886335,0.488774287012021,0.443475675804121
4AEPy,1,6,3.25741181855905,0.117255514298621,0.905110919394201,0.494472781590131,0.447552713960451
4AEPy,2,1,3.05656929478321,0.117255514298621,0.891226186117114,0.460327650465153,0.41025605628831
4AEPy,2,2,3.10980748095245,0.117255514298621,0.896492000318662,0.461787145009769,0.413988481351251
4AEPy,2,3,3.12010815160736,0.117255514298621,0.898730409241157,0.471124194989575,0.423413640566391
4AEPy,2,4,3.16475774891542,0.117255514298621,0.902725557020971,0.479480972782696,0.432839728236216
4AEPy,2,5,3.23648044029709,0.117255514298621,0.907314830737215,0.488774013168989,0.443471911027171
4AEPy,2,6,3.25742859070687,0.117255514298621,0.905116140482713,0.494463143330995,0.447546571902701
4AEPy,3,1,3.05658527581498,0.117255514298621,0.891240932469765,0.460327574147083,0.410262776424391
4AEPy,3,2,3.10984037724962,0.117255514298621,0.896490456265336,0.461787204349824,0.413987821525068
4AEPy,3,3,3.12011044744999,0.117255514298621,0.898731782173668,0.471117459200156,0.423408233720087
4AEPy,3,4,3.16475640015598,0.117255514298621,0.902724290541124,0.479481377741168,0.432839486549077
4AEPy,3,5,3.23647842881288,0.117255514298621,0.907323079267076,0.488771695537356,0.443473839853543
4AEPy,3,6,3.25742750354612,0.117255514298621,0.90511238949323,0.494462795479982,0.447544402332389
4AEPy,4,1,3.05656621370162,0.117255514298621,0.891225874612471,0.460327661112341,0.41025592238316
4AEPy,4,2,3.10980392320613,0.117255514298621,0.896492618246375,0.461787152470568,0.413988773390877
4AEPy,4,3,3.12004224973971,0.117255514298621,0.898727484858304,0.47110803845339,0.423397742495745
4AEPy,4,4,3.16482273203888,0.117255514298621,0.902727944220695,0.479491461749348,0.432850341536365
4AEPy,4,5,3.23644186160085,0.117255514298621,0.907314428544014,0.488773132649634,0.44347091553767
4AEPy,4,6,3.2574514858402,0.117255514298621,0.905116012299704,0.494462489403691,0.447545916640854
BDA,1,1,3.15693610420536,0.116198815778715,0.89861215074054,0.479811682090733,0.43116460759399
BDA,1,2,3.15703477336947,0.116198815778715,0.898588605998591,0.479833010344623,0.431172475877682
