candidate_key,required_modules,object_type,local_expression,local_operation,source_primitives,within_reducer,across_reducer,unit,outer_transform,numeric_family_id,is_family_representative,feature_id,grid_dependent,max_grid_spread_pct_of_full_range,grid_stable
sn_i_bond|inv(h)|within=min|across=range,A,sn_i_bond,inv(h),inv,h,min,range,1,identity,b01f611d968f,True,f002076,True,3.35975665525131,True
sn_i_bond|inv(h)|within=min|across=site_cv,A,sn_i_bond,inv(h),inv,h,min,site_cv,1,identity,0c9408a061d8,True,f002077,True,3.55746377246927,True
sn_i_bond|inv(h)|within=max|across=max,A,sn_i_bond,inv(h),inv,h,max,max,1,identity,2cf7c37a65d7,True,f002080,True,4.91001074423203,True
sn_i_bond|inv(h)|within=top2_deviation|across=mean,A,sn_i_bond,inv(h),inv,h,top2_deviation,mean,1,identity,44b1143961d5,True,f002083,True,2.51731567877279,True
sn_i_bond|inv(h)|within=top2_deviation|across=median,A,sn_i_bond,inv(h),inv,h,top2_deviation,median,1,identity,f39506a5a7e9,True,f002084,True,2.51698011315583,True
sn_i_bond|inv(h)|within=top2_deviation|across=max,A,sn_i_bond,inv(h),inv,h,top2_deviation,max,1,identity,6eb1500fea31,True,f002085,True,2.28893154988746,True
sn_i_bond|inv(h)|within=top2_deviation|across=range,A,sn_i_bond,inv(h),inv,h,top2_deviation,range,1,identity,aedadf7637fc,True,f002086,True,1.96032594521799,True
sn_i_bond|inv(h)|within=top2_deviation|across=site_cv,A,sn_i_bond,inv(h),inv,h,top2_deviation,site_cv,1,identity,d78234598e74,True,f002087,True,1.09347908337219,True
sn_i_bond|sq(h)|within=sd|across=mean,A,sn_i_bond,sq(h),sq,h,sd,mean,1,identity,ab424185a56b,True,f002093,True,0.726978825920495,True
sn_i_bond|sq(h)|within=sd|across=median,A,sn_i_bond,sq(h),sq,h,sd,median,1,identity,6fa5923d1e13,True,f002094,True,0.726964023974052,True
sn_i_bond|sq(h)|within=sd|across=max,A,sn_i_bond,sq(h),sq,h,sd,max,1,identity,793b6ecef3f7,True,f002095,True,1.64545964896499,True
sn_i_bond|sq(h)|within=sd|across=range,A,sn_i_bond,sq(h),sq,h,sd,range,1,identity,c793690c278f,True,f002096,True,4.52650200470492,True
sn_i_bond|sq(h)|within=sd|across=site_cv,A,sn_i_bond,sq(h),sq,h,sd,site_cv,1,identity,f54e9dbbc4e3,True,f002097,True,2.02222950806927,True
sn_i_bond|sq(h)|within=cv|across=mean,A,sn_i_bond,sq(h),sq,h,cv,mean,1,identity,66fc7087b20d,True,f002098,True,0.88327225261958,True
sn_i_bond|sq(h)|within=cv|across=median,A,sn_i_bond,sq(h),sq,h,cv,median,1,identity,8d615dc07f49,True,f002099,True,0.883256299190106,True
sn_i_bond|sq(h)|within=cv|across=max,A,sn_i_bond,sq(h),sq,h,cv,max,1,identity,b5813abb13fb,True,f002100,True,1.9556037073647,True
sn_i_bond|sq(h)|within=cv|across=range,A,sn_i_bond,sq(h),sq,h,cv,range,1,identity,e92dc2b7186a,True,f002101,True,4.79327920780881,True
sn_i_bond|sq(h)|within=cv|across=site_cv,A,sn_i_bond,sq(h),sq,h,cv,site_cv,1,identity,12149864717d,True,f002102,True,2.08776078708038,True
sn_i_bond|sq(h)|within=normalized_range|across=mean,A,sn_i_bond,sq(h),sq,h,normalized_range,mean,1,identity,439c8df00b44,True,f002103,True,2.2082101189173,True
sn_i_bond|sq(h)|within=normalized_range|across=median,A,sn_i_bond,sq(h),sq,h,normalized_range,median,1,identity,51bdf6b5fc63,True,f002104,True,2.20792161339835,True
sn_i_bond|sq(h)|within=normalized_range|across=max,A,sn_i_bond,sq(h),sq,h,normalized_range,max,1,identity,64a7e8bf7bab,True,f002105,True,1.98522390687765,True
sn_i_bond|sq(h)|within=normalized_range|across=range,A,sn_i_bond,sq(h),sq,h,normalized_range,range,1,identity,ac8a5c792d98,True,f002106,True,3.15589020575368,True
sn_i_bond|sq(h)|within=normalized_range|across=site_cv,A,sn_i_bond,sq(h),sq,h,normalized_range,site_cv,1,identity,50c48d1d4c3e,True,f002107,True,1.56374234627573,True
sn_i_bond|sq(h)|within=mad|across=max,A,sn_i_bond,sq(h),sq,h,mad,max,1,identity,238082d61638,True,f002110,True,2.68728550919362,True
sn_i_bond|sq(h)|within=mad|across=site_cv,A,sn_i_bond,sq(h),sq,h,mad,site_cv,1,identity,6b500b24a426,True,f002112,True,4.02753131856738,True
